forskrift om avleveringsplikt for allment tilgjengelege dokument|pliktavleveringsforskriften|avleveringsforskriften	forskrift/1990-05-25-427
forskrift om begrensning av forurensning|forurensningsforskriften|forurensingsforskriften	forskrift/2004-06-01-931
forskrift om begrensning av lønnsoppgaveplikten	forskrift/1983-12-30-1974
forskrift om behandling av tvister i arbeidsgiverperioden	forskrift/1997-03-25-268
forskrift om bekjempelse av lus i akvakulturanlegg|luseforskriften	forskrift/2009-08-18-1095
forskrift om bemanning av norske skip|bemanningsforskriften 2009|forskrift om maskiner|maskinforskriften	forskrift/2009-05-20-544
forskrift om beregning og fastsetting m.v av arbeidsgiveravgift til folketrygden	forskrift/1997-12-02-1385
forskrift om betalingsforetak	forskrift/2010-07-01-1049
forskrift om billighetserstatning i forsvaret|billighetsforskriften	forskrift/1993-08-20-814
forskrift om bindende forhåndsuttalelser i skatte- og avgiftssaker|forskrift om bindende forhåndsuttalelser	forskrift/2005-06-14-550
forskrift om bingo|bingoforskriften	forskrift/2004-11-30-1528
forskrift om bruk av arbeidsutstyr|arbeidsutstyrforskriften	forskrift/1998-06-26-608
forskrift om bruk av kjøretøy	forskrift/1990-01-25-92
forskrift om bruk av personlig verneutstyr under kjøring med motorvogn|forskrift om bruk av bilbelte mv	forskrift/1979-09-21-7
forskrift om bruk av politiarrest|politiarrestforskriften	forskrift/2006-06-30-749
forskrift om bruk av skipsarrest om bord på norske skip	forskrift/2009-08-06-1032
forskrift om bruk av tvang i barneverninstitusjon|forskrift om tvang i barneverninstitusjon	forskrift/2002-12-12-1594
forskrift om bruk av vannscooter og lignende|forskrift om bruk av vannscooter	forskrift/2012-06-22-567
forskrift om byggesak|byggesaksforskriften	forskrift/2010-03-26-488
forskrift om dagpenger under arbeidsløshet|dagpengeforskriften	forskrift/1998-09-16-890
forskrift om dekning av pasienters utgifter til advokat etter pasientskadeloven	forskrift/2009-03-27-357
forskrift om den rettsmedisinske kommisjon|rmk-forskrift	forskrift/2003-03-14-294
forskrift om domennavn|domeneforskriften	forskrift/2003-08-01-990
forskrift om dommeravhør og observasjon	forskrift/1998-10-02-925
forskrift om drift av akvakulturanlegg|akvakulturdriftsforskriften|akvakulturdriftforskriften	forskrift/2008-06-17-822
forskrift om e-pengeforetak	forskrift/2011-12-21-1444
forskrift om eiendomsmegling|eiendomsmeglingsforskriften	forskrift/2007-11-23-1318
forskrift om eiendomsregistrering|matrikkelforskriften	forskrift/2009-06-26-864
forskrift om elektrisk utstyr	forskrift/2011-01-14-36
forskrift om elektriske forsyningsanlegg	forskrift/2005-12-20-1626
forskrift om elektronisk kommunikasjonsnett og elektronisk kommunikasjonstjeneste|ekomforskriften	forskrift/2004-02-16-401
forskrift om elektronisk kommunikasjon|eforvaltningsforskriften|efvf	forskrift/2004-06-25-988
forskrift om en verdig eldreomsorg|verdighetsgarantiforskriften	forskrift/2010-11-12-1426
forskrift om engangsavgift på motorvogner	forskrift/2001-03-19-268
forskrift om erstatning for tap og følgekostnader når husdyr blir drept eller skadet av rovvilt|forskrift om erstatning for tap av husdyr	forskrift/1999-07-02-720
forskrift om erverv og tap av norsk statsborgerskap|statsborgerforskriften	forskrift/2006-06-30-756
forskrift om etablering av tvungent psykisk helsevern mv	forskrift/2006-12-15-1424
forskrift om etablering og gjennomføring av psykisk helsevern m.m|psykisk helsevernforskriften	forskrift/2011-12-16-1258
forskrift om fartsbegrensninger i sjø, elv og innsjø	forskrift/2009-12-15-1546
forskrift om faste forsvarere og bistandsadvokater	forskrift/2011-03-04-251
forskrift om faste grenser for påvirkning av andre berusende|forskrift om faste grenser for andre rusmidler enn alkohol	forskrift/2012-01-20-85
forskrift om fastsetjing og endring av fostringstilskot|forskrift om fastsetjing av fostringstilskot	forskrift/2003-01-15-123
forskrift om fiskevernsone ved svalbard	forskrift/1977-06-03-6
forskrift om fjernmøter og fjernavhør i straffesaker	forskrift/2011-08-12-835
forskrift om folkeregistrering|folkeregistreringsforskriften	forskrift/2007-11-09-1268
forskrift om forbrukernes kollektive interesser	forskrift/2001-12-20-1586
forskrift om forbud mot betalingsformidling for pengespill	forskrift/2010-02-19-184
forskrift om forbudte skytevåpen og godkjente halvautomatiske skytevåpen	forskrift/2011-09-09-930
forskrift om forenklet forelegg i fritids- og småbåtsaker	forskrift/2001-06-15-634
forskrift om forenklet forelegg i vegtrafikksaker	forskrift/1990-06-29-492
forskrift om forenklet oppgjør for arbeidsgiveravgift fra statens forvaltningsvirksomhet	forskrift/2003-11-27-1398
forskrift om forsikring mot ansvar for sykepenger	forskrift/1997-03-25-260
forskrift om forvarer|forvareforskriften|forforskriften	forskrift/2002-11-07-1290
forskrift om fosterhjem|fosterhjemsforskriften|fosterhjemforskriften	forskrift/2003-12-18-1659
forskrift om fotografering, filmopptak mv under hovedforhandling i straffesak|forskrift om fotografering mv under straffesak	forskrift/1985-11-15-1910
